Tunnel,X,Y,Tag
0,"[153.0, 154, 259, 258.0]","[101.5, 96, 96, 101.5]",line_70
1,"[147.0, 171.0]","[132.0, 132.0]",line_40
1,"[289.0, 317.0]","[237.0, 237.0]",line_44
1,"[149.0, 172.0]","[371.0, 371.0]",line_66
0,"[161.0, 161, 261, 261.0]","[355.3125, 385, 385, 355.3125]",line_69
0,"[259, 317, 317.0]","[385, 385, 237.0]",line_73
0,"[161.0, 161, 159, 157.75]","[150.0, 137, 123, 112.5]",line_204
0,"[260.0, 260, 263, 262.75]","[148.0, 125, 120, 112.5]",line_207
0,"[161, 119, 91, 74.75]","[161, 161, 191, 191.0]",line_221
0,"[253.25, 253, 212, 211.0]","[112.5, 119, 119, 125.0]",line_81
0,"[211.0, 211, 171, 171.0]","[133.0, 142, 142, 132.0]",line_86
0,"[155, 100]","[96, 96]",line_122
0,"[148.25, 148, 112, 111.0]","[112.5, 121, 121, 125.0]",line_61
0,"[147.0, 147, 121, 121, 111, 86, 74.75]","[132.0, 142, 142, 156, 156, 187, 187.0]",line_79
0,"[111.0, 111, 103, 92, 73, 67, 67.0]","[133.0, 144, 153, 167, 173, 173, 179.25]",line_93
0,"[161.0, 161.0]","[293.0, 306.6875]",line_85
1,"[180.0, 145.0]","[276.0, 276.0]",line_89
0,"[211.0, 211, 181, 180.0]","[273.0, 282, 282, 276.0]",line_97
0,"[161.0, 161.0]","[156.0, 177.6875]",line_139
0,"[260.0, 261.0]","[156.0, 177.6875]",line_140
1,"[181.0, 141.0]","[171.0, 171.0]",line_58
0,"[141.0, 141, 115, 101, 74.75]","[172.0, 178, 178, 196, 195.0]",line_74
0,"[261.0, 261.0]","[292.0, 306.6875]",line_50
0,"[161.0, 161, 261, 261.0]","[226.3125, 236, 236, 226.3125]",line_63
0,"[258, 301, 301, 291, 276, 255]","[96, 96, 251, 251, 244, 244]",line_75
0,"[260.75, 261.0]","[261.5, 284.0]",line_76
0,"[250.75, 251, 237, 227, 211, 211.0]","[261.5, 270, 270, 253, 253, 265.0]",line_78
0,"[317.0, 317, 241, 241, 225.5]","[237.0, 31, 31, 64, 64.0]",line_108
0,"[260, 181, 181.0]","[163, 163, 171.0]",line_65
0,"[261, 211, 211, 172, 172.0]","[302, 302, 366, 366, 371.0]",line_67
0,"[289.0, 289, 261]","[237.0, 232, 232]",line_68
0,"[103, 91, 91, 55]","[96, 96, 151, 151]",line_91
0,"[261.0, 261, 91, 91]","[69.5, 88, 88, 97]",line_55
0,"[221.0, 221, 81, 81, 39, 39, 51, 51.0]","[68.5, 81, 81, 101, 101, 151, 161, 179.25]",line_105
0,"[73.0, 73, 33, 33, 47, 47.0]","[66.5, 92, 92, 161, 168, 179.25]",line_107
0,"[149.0, 149, 43, 43.0]","[371.0, 384, 384, 222.75]",line_111
0,"[59.0, 59, 55, 55.0]","[133.0, 150, 151, 179.25]",line_51
0,"[59.0, 59, 39]","[125.0, 108, 108]",line_59
0,"[165.75, 166, 161, 161.0]","[261.5, 268, 269, 285.0]",line_56
0,"[92.0, 92, 67, 67.0]","[293.0, 302, 301, 222.75]",line_64
0,"[145.0, 145, 125, 125, 101, 59, 59.0]","[276.0, 284, 284, 302, 312, 312, 222.75]",line_77
0,"[161, 137, 102, 51, 51.0]","[301, 301, 322, 322, 222.75]",line_80
0,"[256.0, 256, 161]","[250.5, 244, 244]",line_95
0,"[156.25, 156, 91, 92.0]","[261.5, 267, 267, 285.0]",line_102
0,"[125.0, 125, 135, 152, 163]","[227.0, 218, 218, 236, 236]",line_109
0,"[125.0, 125, 91, 91, 74.75]","[235.0, 244, 244, 211, 211.0]",line_112
0,"[125, 112, 112, 74.75]","[218, 218, 207, 207.0]",line_113
0,"[161.0, 161, 125]","[250.5, 243, 244]",line_114
0,"[41.0, 41, 21, 21, 43, 43.0]","[66.5, 86, 86, 172, 172, 179.25]",line_115
