X,Y,Component,Tag
41.0,66.5,Pad,Pad_9_0.0
43.0,179.25,AM3208,AM3208_0_0.0
59.0,133.0,C0.1uF,C0.1uF_1_90.0
55.0,179.25,AM3208,AM3208_0_0.0
71.0,161.0,Via,Via_4_0.0
11.0,161.0,Via,Via_2_0.0
71.0,161.0,Via,Via_4_0.0
59.0,179.25,AM3208,AM3208_0_0.0
11.0,161.0,Via,Via_2_0.0
11.0,145.5,Pad,Pad_4_0.0
59.0,125.0,C0.1uF,C0.1uF_1_90.0
261.0,44.5,Pad,Pad_5_0.0
217.0,125.0,R330,R330_3_90.0
217.0,96.0,LED,LED_4_90.0
361.0,125.0,R330,R330_4_90.0
361.0,95.0,LED,LED_8_90.0
151.0,194.5,Transistor,Transistor_4_0.0
361.0,234.0,Via,Via_20_0.0
401.0,234.0,Via,Via_12_0.0
217.0,88.0,LED,LED_4_90.0
361.0,87.0,LED,LED_8_90.0
201.0,190.25,Diode,Diode_5_90.0
217.0,133.0,R330,R330_3_90.0
351.0,190.25,Diode,Diode_7_90.0
361.0,133.0,R330,R330_4_90.0
141.0,252.0,Via,Via_19_0.0
97.0,252.0,Via,Via_18_0.0
401.0,234.0,Via,Via_12_0.0
226.5,40.0,Pad,Pad_3_0.0
144.25,396.5,Transistor,Transistor_6_0.0
145.0,416.0,R2k,R2k_2_90.0
296.25,396.5,Transistor,Transistor_9_0.0
297.0,416.0,R2k,R2k_3_90.0
201.0,380.25,Diode,Diode_9_90.0
321.0,447.0,Via,Via_14_0.0
271.0,447.0,Via,Via_21_0.0
153.75,396.5,Transistor,Transistor_6_0.0
271.0,447.0,Via,Via_21_0.0
321.0,447.0,Via,Via_14_0.0
401.0,234.0,Via,Via_12_0.0
305.75,396.5,Transistor,Transistor_9_0.0
217.5,40.0,Pad,Pad_3_0.0
51.0,179.25,AM3208,AM3208_0_0.0
105.0,226.0,C0.1uF,C0.1uF_3_90.0
74.75,207.0,AM3208,AM3208_0_0.0
217.0,286.0,LED,LED_3_90.0
217.0,318.0,R330,R330_6_90.0
361.0,285.0,LED,LED_6_90.0
361.0,320.0,R330,R330_7_90.0
217.0,326.0,R330,R330_6_90.0
361.0,328.0,R330,R330_7_90.0
305.75,207.5,Transistor,Transistor_3_0.0
361.0,234.0,Via,Via_20_0.0
127.0,216.0,Via,Via_24_0.0
157.0,216.0,Via,Via_15_0.0
211.0,216.0,Via,Via_27_0.0
241.0,216.0,Via,Via_28_0.0
155.75,205.5,Transistor,Transistor_4_0.0
157.0,216.0,Via,Via_15_0.0
157.0,216.0,Via,Via_15_0.0
211.0,216.0,Via,Via_27_0.0
127.0,216.0,Via,Via_24_0.0
241.0,216.0,Via,Via_28_0.0
141.0,252.0,Via,Via_19_0.0
217.0,278.0,LED,LED_3_90.0
361.0,277.0,LED,LED_6_90.0
105.0,234.0,C0.1uF,C0.1uF_3_90.0
97.0,252.0,Via,Via_18_0.0
74.75,211.0,AM3208,AM3208_0_0.0
351.0,379.25,Diode,Diode_4_90.0
52.0,318.0,R2k,R2k_4_90.0
59.0,222.75,AM3208,AM3208_0_0.0
145.0,424.0,R2k,R2k_2_90.0
55.0,222.75,AM3208,AM3208_0_0.0
297.0,424.0,R2k,R2k_3_90.0
51.0,222.75,AM3208,AM3208_0_0.0
72.0,278.0,R2k,R2k_5_90.0
63.0,222.75,AM3208,AM3208_0_0.0
146.25,205.5,Transistor,Transistor_4_0.0
72.0,286.0,R2k,R2k_5_90.0
296.25,207.5,Transistor,Transistor_3_0.0
52.0,326.0,R2k,R2k_4_90.0
159.75,171.25,ERM,ERM_8_0.0
201.0,173.75,Diode,Diode_5_90.0
289.75,170.25,ERM,ERM_4_0.0
351.0,173.75,Diode,Diode_7_90.0
159.75,366.25,ERM,ERM_3_0.0
201.0,363.75,Diode,Diode_9_90.0
289.75,366.25,ERM,ERM_5_0.0
351.0,362.75,Diode,Diode_4_90.0
301.0,196.5,Transistor,Transistor_3_0.0
272.25,170.25,ERM,ERM_4_0.0
301.0,385.5,Transistor,Transistor_9_0.0
272.25,366.25,ERM,ERM_5_0.0
149.0,385.5,Transistor,Transistor_6_0.0
142.25,366.25,ERM,ERM_3_0.0
